bin_id,zone_type,zone_name,bin_cluster_id,cluster_label
BIN0001,market,Hampankatta,0,event_spiky
BIN0002,market,Hampankatta,0,event_spiky
BIN0003,market,Hampankatta,3,high_risk_chronic_overflow
BIN0004,market,Hampankatta,0,event_spiky
BIN0005,market,Hampankatta,3,high_risk_chronic_overflow
BIN0006,market,Hampankatta,0,event_spiky
BIN0007,market,Hampankatta,0,event_spiky
BIN0008,market,Hampankatta,0,event_spiky
BIN0009,market,Hampankatta,3,high_risk_chronic_overflow
BIN0010,market,Hampankatta,3,high_risk_chronic_overflow
BIN0011,market,Hampankatta,0,event_spiky
BIN0012,market,Hampankatta,2,event_spiky
BIN0013,market,Hampankatta,0,event_spiky
BIN0014,market,Hampankatta,2,event_spiky
BIN0015,market,Hampankatta,0,event_spiky
BIN0016,market,Hampankatta,0,event_spiky
BIN0017,market,Hampankatta,0,event_spiky
BIN0018,market,Hampankatta,0,event_spiky
BIN0019,market,Hampankatta,3,high_risk_chronic_overflow
BIN0020,market,Hampankatta,2,event_spiky
BIN0021,market,Hampankatta,2,event_spiky
BIN0022,market,Hampankatta,0,event_spiky
BIN0023,market,Hampankatta,0,event_spiky
BIN0024,market,Hampankatta,3,high_risk_chronic_overflow
BIN0025,market,Bunder,0,event_spiky
BIN0026,market,Bunder,3,high_risk_chronic_overflow
BIN0027,market,Bunder,2,event_spiky
BIN0028,market,Bunder,0,event_spiky
BIN0029,market,Bunder,3,high_risk_chronic_overflow
BIN0030,market,Bunder,0,event_spiky
BIN0031,market,Bunder,3,high_risk_chronic_overflow
BIN0032,market,Bunder,0,event_spiky
BIN0033,market,Bunder,0,event_spiky
BIN0034,market,Bunder,0,event_spiky
BIN0035,market,Bunder,0,event_spiky
BIN0036,market,Bunder,0,event_spiky
BIN0037,market,Bunder,0,event_spiky
BIN0038,market,Bunder,2,event_spiky
BIN0039,market,Bunder,0,event_spiky
BIN0040,market,Bunder,3,high_risk_chronic_overflow
BIN0041,market,Bunder,0,event_spiky
BIN0042,market,Bunder,0,event_spiky
BIN0043,market,Bunder,2,event_spiky
BIN0044,market,Bunder,3,high_risk_chronic_overflow
BIN0045,market,Bunder,3,high_risk_chronic_overflow
BIN0046,market,Bunder,2,event_spiky
BIN0047,market,Bunder,3,high_risk_chronic_overflow
BIN0048,mixed_use,Mangaladevi,2,event_spiky
BIN0049,mixed_use,Mangaladevi,1,high_risk_chronic_overflow
BIN0050,mixed_use,Mangaladevi,1,high_risk_chronic_overflow
BIN0051,mixed_use,Mangaladevi,1,high_risk_chronic_overflow
BIN0052,mixed_use,Mangaladevi,2,event_spiky
BIN0053,mixed_use,Mangaladevi,1,high_risk_chronic_overflow
BIN0054,mixed_use,Mangaladevi,0,event_spiky
BIN0055,mixed_use,Mangaladevi,2,event_spiky
BIN0056,mixed_use,Mangaladevi,2,event_spiky
