bin_id,zone_id,zone_name,zone_type,latitude,longitude,bin_capacity_liters,waste_type,has_iot_sensor,population_density_per_sqkm,nearby_restaurants_count,nearby_markets_count,distance_to_nearest_bin_m
BIN0001,Z01,Hampankatta,market,12.870784,74.842012,660,mixed,True,19391,14,4,138.9
BIN0002,Z01,Hampankatta,market,12.87267,74.838865,1100,mixed,True,20168,10,4,120.8
BIN0003,Z01,Hampankatta,market,12.873636,74.836386,660,mixed,False,19083,15,4,215.3
BIN0004,Z01,Hampankatta,market,12.866559,74.838045,660,mixed,True,20056,15,3,66.1
BIN0005,Z01,Hampankatta,market,12.870478,74.842147,1100,wet_organic,True,20699,11,3,159.2
BIN0006,Z01,Hampankatta,market,12.863832,74.839585,1100,mixed,True,19714,11,3,209.1
BIN0007,Z01,Hampankatta,market,12.873933,74.8381,240,wet_organic,True,20532,11,4,90.9
BIN0008,Z01,Hampankatta,market,12.873849,74.836969,240,wet_organic,True,20990,14,4,237.3
BIN0009,Z01,Hampankatta,market,12.867589,74.836869,1100,wet_organic,True,21234,12,4,204.0
BIN0010,Z01,Hampankatta,market,12.872849,74.840257,1100,wet_organic,False,20079,12,3,189.7
BIN0011,Z01,Hampankatta,market,12.872103,74.844242,240,wet_organic,True,19652,15,3,290.5
BIN0012,Z01,Hampankatta,market,12.871321,74.840239,240,mixed,False,20199,14,5,263.5
BIN0013,Z01,Hampankatta,market,12.872572,74.838206,240,mixed,True,18196,9,4,116.9
BIN0014,Z01,Hampankatta,market,12.869015,74.84708,120,wet_organic,True,18672,13,3,138.3
BIN0015,Z01,Hampankatta,market,12.872636,74.838663,1100,mixed,True,19309,12,4,214.6
BIN0016,Z01,Hampankatta,market,12.873243,74.841196,660,mixed,True,19259,10,3,210.1
BIN0017,Z01,Hampankatta,market,12.868976,74.845781,660,wet_organic,False,18801,14,4,149.0
BIN0018,Z01,Hampankatta,market,12.867613,74.837251,660,mixed,True,19167,9,3,121.1
BIN0019,Z01,Hampankatta,market,12.866795,74.837422,1100,wet_organic,True,18395,10,3,148.0
BIN0020,Z01,Hampankatta,market,12.870381,74.838662,120,wet_organic,True,17644,15,3,180.6
BIN0021,Z01,Hampankatta,market,12.864861,74.847694,240,dry_recyclable,True,18345,13,3,173.5
BIN0022,Z01,Hampankatta,market,12.875415,74.836691,1100,wet_organic,False,21149,12,4,145.9
BIN0023,Z01,Hampankatta,market,12.874053,74.836414,660,mixed,True,20314,16,2,187.6
BIN0024,Z01,Hampankatta,market,12.868182,74.844367,1100,wet_organic,True,19867,10,4,183.9
BIN0025,Z02,Bunder,market,12.856634,74.84184,1100,wet_organic,True,15867,9,4,203.8
BIN0026,Z02,Bunder,market,12.858343,74.83932,660,wet_organic,False,15617,10,5,130.9
BIN0027,Z02,Bunder,market,12.868138,74.831209,240,wet_organic,True,17109,7,5,228.5
BIN0028,Z02,Bunder,market,12.858038,74.841167,660,mixed,True,16819,9,5,150.9
BIN0029,Z02,Bunder,market,12.863775,74.830796,1100,mixed,True,15930,6,5,193.5
BIN0030,Z02,Bunder,market,12.863256,74.835675,660,mixed,False,17321,6,6,250.7
BIN0031,Z02,Bunder,market,12.865793,74.83708,1100,mixed,True,15492,6,5,162.4
BIN0032,Z02,Bunder,market,12.867878,74.831099,1100,mixed,True,16215,7,4,29.0
BIN0033,Z02,Bunder,market,12.866816,74.837229,660,mixed,True,16390,9,3,181.7
BIN0034,Z02,Bunder,market,12.858712,74.837626,660,dry_recyclable,True,16395,10,5,199.1
BIN0035,Z02,Bunder,market,12.859484,74.840639,1100,dry_recyclable,True,15447,9,5,100.7
BIN0036,Z02,Bunder,market,12.863673,74.835303,660,mixed,True,15941,10,4,150.9
BIN0037,Z02,Bunder,market,12.868068,74.839789,660,wet_organic,True,17551,10,6,152.2
BIN0038,Z02,Bunder,market,12.864412,74.839371,660,mixed,True,17676,7,4,142.1
BIN0039,Z02,Bunder,market,12.868075,74.835586,660,mixed,False,15279,6,4,180.8
BIN0040,Z02,Bunder,market,12.864612,74.833978,1100,wet_organic,False,17291,6,6,188.3
BIN0041,Z02,Bunder,market,12.858414,74.83808,660,mixed,True,16029,7,4,211.4
BIN0042,Z02,Bunder,market,12.858047,74.838267,660,wet_organic,True,18291,7,6,139.7
BIN0043,Z02,Bunder,market,12.865823,74.834518,120,mixed,False,16139,6,6,129.3
BIN0044,Z02,Bunder,market,12.858706,74.83001,1100,mixed,True,17131,7,4,152.0
BIN0045,Z02,Bunder,market,12.868287,74.841572,660,wet_organic,True,15599,9,5,140.1
BIN0046,Z02,Bunder,market,12.864564,74.838529,240,wet_organic,True,18428,9,3,226.9
BIN0047,Z02,Bunder,market,12.862398,74.832085,660,wet_organic,True,15313,6,5,226.8
BIN0048,Z03,Mangaladevi,mixed_use,12.875275,74.848657,240,wet_organic,True,14356,9,3,353.4
BIN0049,Z03,Mangaladevi,mixed_use,12.8725,74.844043,660,dry_recyclable,False,12957,9,2,395.9
BIN0050,Z03,Mangaladevi,mixed_use,12.867656,74.847367,660,mixed,True,13718,10,4,313.2
BIN0051,Z03,Mangaladevi,mixed_use,12.875277,74.849802,660,wet_organic,False,14027,9,3,232.6
BIN0052,Z03,Mangaladevi,mixed_use,12.871365,74.854779,120,wet_organic,False,14378,15,3,248.7
BIN0053,Z03,Mangaladevi,mixed_use,12.879156,74.850636,240,mixed,False,13549,12,2,260.8
BIN0054,Z03,Mangaladevi,mixed_use,12.875853,74.844861,120,mixed,True,14134,11,3,270.7
BIN0055,Z03,Mangaladevi,mixed_use,12.8752,74.852519,660,dry_recyclable,True,14779,14,3,301.6
BIN0056,Z03,Mangaladevi,mixed_use,12.868631,74.846289,240,wet_organic,False,14593,13,3,258.5
BIN0057,Z03,Mangaladevi,mixed_use,12.873344,74.855596,240,mixed,False,14927,12,3,335.3
